credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,0.1375,340.57,10.4631,17.38,707,2699.958,22213,65.9,0,0,0,0
1,home_improvement,0.0775,156.11,12.32386,6.48,752,5339.958,2160,2.3,1,0,0,0
1,credit_card,0.0743,155.38,11.15625,4.56,812,9809,813,1,0,0,0,0
1,home_improvement,0.0807,235.25,11.91839,2.72,757,5202,23678,24.4,4,0,0,0
1,debt_consolidation,0.0996,257.99,10.77896,15.13,722,2640,11289,47.8,3,0,0,0
1,small_business,0.1501,225.37,12.26905,6.45,677,6240,56411,75.3,0,0,0,1
1,home_improvement,0.0964,80.26,11.22524,20,772,4920.958,269,3.8,3,0,0,1
1,home_improvement,0.128,84,10.37349,20,682,5492,3408,35.1,1,0,0,1
1,debt_consolidation,0.1122,507.46,10.59663,13.5,712,5368.958,6513,34.3,3,0,1,1
1,educational,0.0743,124.31,10.59663,3.45,772,1739.958,330,11,0,0,0,0
1,credit_card,0.087,63.32,11.15625,6.07,712,2550,5967,19.8,1,0,0,0
1,all_other,0.1091,130.79,9.798127,18,707,2192,5533,79.6,1,0,0,0
1,home_improvement,0.0775,93.67,11.73607,2.14,762,8370,21050,1,0,0,0,0
1,all_other,0.0775,93.67,10.81978,5.35,762,8370,21050,0.7,0,0,0,0
1,all_other,0.087,88.65,11.69525,15,742,3026,8155,14.9,1,0,0,0
1,all_other,0.0964,128.41,11.51293,15,722,3026,8155,14.9,1,0,0,0
1,home_improvement,0.087,94.98,11.03489,12.23,737,2729.958,3678,30.7,0,0,0,0
1,debt_consolidation,0.1217,179.8,10.4631,7.1,662,2944,2040,36.2,2,0,0,0
1,credit_card,0.1533,444.05,11.0021,19.52,667,2700.958,33074,68.8,2,0,0,0
1,all_other,0.0775,124.89,11.03166,3.46,747,2519,1918,17.1,0,0,0,0
1,credit_card,0.1533,644.3,11.40756,5.24,662,1770,22379,62.2,0,0,0,0
1,small_business,0.0964,642.02,11.4721,2.86,737,2190,10296,42.5,0,0,0,1
1,small_business,0.1154,104.76,9.615805,12.24,672,1289.958,2867,55.1,3,0,0,1
1,debt_consolidation,0.1122,157.66,10.30895,12.36,682,1770,12310,86.1,0,0,0,0
1,debt_consolidation,0.087,383.87,11.91839,4.8,767,13349.96,61921,39.1,0,0,0,0
1,credit_card,0.1122,217.6,11.38509,18,702,3725,16738,26.1,2,0,0,0
1,all_other,0.0807,297.99,11.05089,3.49,792,5939,40384,9.2,1,0,0,0
1,debt_consolidation,0.0775,156.11,10.71442,5,762,2131,1359,5.6,2,0,0,0
1,debt_consolidation,0.1154,329.95,12.32386,20,727,10292,107501,44.8,2,0,0,0
1,all_other,0.0807,313.67,12.06105,0.72,787,8010,3054,5.6,3,0,0,0
1,all_other,0.0807,297.99,11.40756,2.44,792,8717.958,40384,9.6,0,0,0,0
1,home_improvement,0.0933,239.65,11.44035,9.66,792,4529,128000,0,3,0,0,0
1,debt_consolidation,0.0712,61.87,11.67844,0.43,772,5936,4709,18.5,0,0,0,0
1,all_other,0.1186,94.47,10.71442,2.8,667,5460,2850,75,0,1,0,0
1,small_business,0.1501,73.68,11.4721,16.89,702,4080,51,0,0,0,0,1
1,home_improvement,0.0807,313.67,11.91839,5.84,792,5364.958,37152,3.7,0,0,0,0
1,debt_consolidation,0.0933,543.2,11.22524,9.55,762,5699.958,3839,16.6,1,0,0,0
1,home_improvement,0.0807,313.67,11.35041,3.11,797,5363.958,37152,3.7,0,0,0,0
1,credit_card,0.1217,266.37,11.15625,10.2,672,3598.958,26283,39.5,0,1,0,1
1,debt_consolidation,0.1028,210.6,10.71442,5.87,692,1741.958,5607,42.2,0,0,0,0
1,all_other,0.1249,234.15,10.04325,5.01,662,1110,1061,81.9,3,0,0,0
1,debt_consolidation,0.1028,323.99,11.69525,14.4,722,4679.958,56740,77.5,1,0,0,0
1,credit_card,0.1059,235.96,10.95081,7.22,712,5519,40598,77.3,1,0,0,0
1,debt_consolidation,0.1438,352.22,11.18442,17.83,687,1289.958,3815,6.5,1,0,0,0
1,all_other,0.0743,117.31,11.69525,0,772,3929.958,0,0,1,0,0,0
1,debt_consolidation,0.0712,64.96,11.60824,0.22,812,16213,50,0.3,0,0,0,0
1,small_business,0.1565,699.69,11.42954,1.53,667,3603.958,4569,56.4,1,0,0,0
1,educational,0.1059,195.27,9.852194,8.15,692,3089.958,8528,86.1,0,0,0,0
1,credit_card,0.1122,295.59,10.38591,22.15,747,2788.958,14345,45.8,0,0,0,0
1,small_business,0.1122,217.59,10.81978,18.38,707,3359,113,2.4,1,0,0,0
1,debt_consolidation,0.1375,263.09,11.03811,9.8,677,3089.958,12231,81,3,0,0,1
1,debt_consolidation,0.1467,248.43,10.95081,20.76,667,3750,13552,69.1,0,1,0,0
1,credit_card,0.1028,194.4,11.37711,10.6,692,2489.958,16813,63.9,0,0,0,0
1,debt_consolidation,0.1249,301.04,10.57132,5.08,667,3690,26233,62.9,3,0,1,1
1,all_other,0.0743,163.92,11.35041,2.64,782,9210,5760,16,0,0,0,0
1,all_other,0.1028,150.66,10.72766,3.26,687,6509.958,105,35,1,1,0,1
1,debt_consolidation,0.1122,217.59,10.95256,13.77,682,2160,11490,95.7,0,0,0,0
1,home_improvement,0.1312,85.23,10.59663,20.67,692,5250,17641,30.5,3,1,0,0
1,all_other,0.1122,328.43,10.30895,20.4,742,3270,0,0,3,0,0,0
1,all_other,0.0807,165.47,10.91509,12,797,8790,12430,19.2,1,0,0,0
1,debt_consolidation,0.1091,140.6,10.49127,9.87,707,1560,12323,44,0,0,0,0
1,all_other,0.1028,98.01,11.40756,9.13,697,3300,38624,97.8,0,0,0,0
1,small_business,0.1217,166.48,9.21034,0,662,2250,875,54.7,2,1,0,1
1,small_business,0.1249,284.32,11.35041,6.38,667,7229.958,1196,12,3,4,0,0
1,small_business,0.1438,194.15,13.08154,2.4,697,2759.958,26628,60.4,3,1,0,0
1,all_other,0.1028,138.51,10.34174,24.81,767,5789.958,6752,24.6,2,0,0,0
1,debt_consolidation,0.1249,70.25,9.433484,14.4,662,1469,458,91.6,1,0,0,1
1,credit_card,0.0838,252.1,11.56172,9.71,752,3508.958,16786,44.7,0,0,0,0
1,all_other,0.0901,263.19,11.69525,12.16,742,9719.958,7336,29.9,0,0,0,0
1,all_other,0.0933,104.65,11.03489,3.83,702,3690,7089,41.9,1,0,0,0
1,debt_consolidation,0.0807,172.53,10.89674,6.29,742,5100,18388,68.9,0,0,0,0
1,credit_card,0.0996,38.7,10.37349,1.13,677,1920,613,76.6,2,0,0,0
1,educational,0.1249,100.35,10.27918,12.77,662,1110,566,51.5,3,1,0,1
1,debt_consolidation,0.128,335.98,10.50232,18.92,682,2219,9166,50.4,1,0,0,0
1,all_other,0.1091,163.49,10.57132,11.78,707,4889,5406,33.4,0,0,1,1
1,all_other,0.0996,32.25,10.4631,5.83,687,2158.958,1188,3,2,0,0,1
1,educational,0.0996,96.75,9.798127,15.4,707,11248.96,12003,40.4,1,0,0,0
1,all_other,0.1059,72.42,11.0021,8.14,707,4800,20511,62,1,0,0,1
1,small_business,0.0964,90.68,11.15625,18,732,3691,55720,10,2,0,0,0
1,all_other,0.0807,259.58,10.79958,9.89,772,9870,7744,17.1,0,0,0,0
1,all_other,0.0964,169.32,11.15625,17.57,737,5429.958,51761,38,1,0,0,0
1,credit_card,0.1154,205.4,10.71442,17.76,717,1500,579,23.2,0,0,0,0
1,debt_consolidation,0.1312,162.01,11.35041,16.87,707,9059.958,34776,54.3,0,0,0,1
1,debt_consolidation,0.1028,226.8,10.92233,10.05,692,1890,8047,33.8,0,0,0,0
1,all_other,0.1059,162.73,9.615805,24.4,737,3209.958,0,0,3,0,0,0
1,debt_consolidation,0.1154,158.38,10.12663,18.19,672,2586,409,81.8,0,1,0,0
1,small_business,0.0901,795.11,10.95081,8.93,822,9696.958,185,0.5,0,0,0,0
1,debt_consolidation,0.0996,158.83,11.33857,4.84,727,6330,48251,50.1,2,0,0,0
1,all_other,0.1028,97.2,10.54534,19.93,687,2580,772,96.5,0,0,0,0
1,debt_consolidation,0.1154,263.97,10.81978,8.04,672,3089,1019,4.5,1,1,0,0
1,small_business,0.1091,404.62,10.75178,16.39,692,5640,8332,39.9,2,0,0,0
1,all_other,0.0775,307.53,11.15625,9.09,797,6089.958,1790,4.5,1,0,0,0
1,debt_consolidation,0.128,839.95,11.22524,24.85,722,6330,62739,74.7,3,0,0,1
1,all_other,0.1059,269.31,11.5991,24.01,767,4665.958,29901,71.2,2,0,0,1
1,debt_consolidation,0.1186,265.18,10.859,11.31,667,1560,5867,74.3,1,0,0,0
1,home_improvement,0.0964,802.47,11.26446,0.8,732,2129.958,10605,22.1,1,0,0,0
1,debt_consolidation,0.1091,505.16,11.69525,16.97,697,9659,57196,44.5,3,0,0,1
1,home_improvement,0.0901,318.05,12.52453,2.97,712,4919,481,80.2,2,0,0,1
1,educational,0.0838,315.12,10.30895,4.2,737,1560,2282,19,1,0,0,0
1,all_other,0.1091,130.79,9.574983,8.92,672,1140,3614,61.3,1,0,0,0
1,debt_consolidation,0.1059,227.82,11.0588,8.5,682,6839.958,14930,79,1,0,1,0
1,credit_card,0.0996,643.36,11.66135,13.07,727,10529.96,33989,82.9,0,0,0,0
1,all_other,0.147,51.78,10.12663,3.84,632,1530,1238,61.9,1,1,0,0
1,educational,0.0901,572.48,10.62133,15.37,747,7500,4746,18.5,2,0,0,0
1,all_other,0.0775,149.87,9.952278,6.34,752,3029,3470,25.5,0,0,0,0
1,all_other,0.0996,96.75,11.03489,11.98,682,1799,12640,83.2,0,0,0,0
1,home_improvement,0.0712,92.8,11.44035,0,812,8250,368,1.2,0,0,0,0
1,credit_card,0.1091,192.09,11.09741,19.82,677,4290,30597,89.5,1,1,0,0
1,all_other,0.1154,593.92,10.20359,10.8,682,5050,8537,75.5,0,0,0,0
1,debt_consolidation,0.1091,392.36,10.4631,15.74,692,1500.042,15649,54.5,2,0,0,0
1,educational,0.0775,156.11,10.859,9.55,767,12960.04,4067,7.3,0,0,0,0
1,debt_consolidation,0.1028,155.52,10.4631,7.51,687,2795,5836,68.7,0,0,1,0
1,credit_card,0.1028,485.99,11.38509,11.95,702,5070,24615,94.7,0,0,0,0
1,all_other,0.1028,116.64,10.30895,7.88,687,5130.042,7600,71.7,0,0,1,0
1,debt_consolidation,0.1122,223.34,10.83958,18.68,682,1889.042,9495,87.9,2,0,0,1
1,credit_card,0.0775,149.87,9.903488,10.26,757,6330.042,4921,30.4,0,0,0,0
1,educational,0.1154,211.17,11.46163,1.83,667,3421.042,11200,23.2,1,0,0,0
1,debt_consolidation,0.0743,186.45,11.1373,6.11,777,7440.042,2444,5.6,3,0,0,0
1,debt_consolidation,0.0933,790.86,11.0021,0.82,767,2100,916,6.8,0,0,0,0
1,small_business,0.0901,795.11,13.331,3.83,782,3660,148829,6.6,5,0,0,1
1,credit_card,0.087,126.65,10.69194,18.71,747,3630,3209,12.6,0,0,0,0
1,credit_card,0.1091,294.27,11.28978,17.17,677,3840.042,7570,82.3,0,0,0,0
1,debt_consolidation,0.1091,404.62,11.28978,9.23,687,2519,13126,96.5,0,0,1,0
1,debt_consolidation,0.1186,397.77,11.91839,20.48,687,4452.042,66654,51.6,1,0,0,0
1,debt_consolidation,0.0743,178.68,11.46163,1.2,812,16259.04,50,0.3,0,0,0,0
1,educational,0.1028,29.16,9.392662,16.7,687,2069,3084,65.6,3,0,0,1
1,small_business,0.0996,417.62,11.42954,6.48,712,5610.042,2598,23.8,1,0,0,0
1,credit_card,0.1059,130.18,11.03489,17.81,682,6330.042,18168,68.5,2,0,0,0
1,all_other,0.1122,98.53,10.40135,22.79,682,9389,24218,85.3,2,0,0,0
1,all_other,0.0807,15.69,9.798127,4.27,722,1470,0,0,0,0,0,0
1,credit_card,0.1091,523.14,12.20607,10.7,697,7320,72303,73.7,1,0,0,0
1,all_other,0.087,557.23,11.93819,0.12,757,1128.042,1032,5,0,0,0,0
1,all_other,0.1122,315.3,10.65726,14.6,677,3630,133,4.2,1,0,0,0
1,debt_consolidation,0.1154,527.93,10.70099,12.16,682,2130,34023,57.7,1,2,0,1
1,major_purchase,0.0743,93.23,11.18442,11.18,757,4500.042,12430,29.6,5,0,0,0
1,debt_consolidation,0.0775,202.94,10.77896,13.53,787,10260.04,10742,8.9,3,0,0,0
1,debt_consolidation,0.1186,165.74,10.59663,7.02,667,2789.042,2197,75.8,0,2,0,1
1,all_other,0.1028,158.76,10.69194,15.3,692,4410,88,23.8,1,3,0,1
1,debt_consolidation,0.1028,485.99,10.81978,11.88,702,7020.042,13867,33.7,0,0,0,0
1,all_other,0.0996,322.49,11.19134,10.28,702,4920.042,3943,98.6,3,0,0,1
1,debt_consolidation,0.087,189.97,10.08581,19.45,757,3870.042,5405,40,2,0,0,0
1,debt_consolidation,0.1217,376.24,10.42228,23.96,712,3030.042,12102,49,1,0,0,0
1,debt_consolidation,0.1217,599.33,11.61045,18.3,682,4379,18076,81.4,1,0,0,0
1,debt_consolidation,0.1217,132.35,10.20359,23.2,702,5279.042,4504,39.2,1,0,0,1
1,small_business,0.1186,828.69,10.859,9.74,712,4859.042,25852,60.5,0,0,0,0
1,credit_card,0.1091,604.88,10.859,17.56,707,8061,32438,43,0,1,0,0
1,debt_consolidation,0.087,538.23,10.93132,11.51,747,6240.042,20380,48.1,2,0,0,0
1,credit_card,0.0933,172.55,10.64542,16.09,707,2220,38054,61.2,0,0,0,0
1,small_business,0.1091,604.88,10.49127,4.67,697,1410,25,0.2,2,0,0,0
1,all_other,0.0996,290.24,10.54534,3.38,697,1782,3305,55.1,2,0,0,0
1,major_purchase,0.1186,530.36,11.36674,15.1,682,3900,348,4.8,0,0,0,1
1,all_other,0.087,158.31,10.08581,6.15,722,1350,3015,25.3,0,0,0,0
1,debt_consolidation,0.1059,390.54,10.30895,19.84,702,2042.042,7336,71.9,1,0,0,0
1,credit_card,0.1249,301.04,10.859,4.98,662,6630.042,8644,72.6,1,0,0,0
1,small_business,0.1154,659.91,11.4721,17.81,707,3629,93,0,2,0,0,1
1,small_business,0.0743,217.52,10.66896,1.65,777,2879,2698,9.5,0,0,0,0
1,home_improvement,0.1028,388.79,11.48247,5.58,697,4800.042,19009,30,0,0,0,0
1,major_purchase,0.087,158.31,10.77896,0.38,717,12930.04,498,7.3,2,1,0,0
1,debt_consolidation,0.1217,319.64,11.0021,19.28,672,4740,10358,91.7,2,0,1,1
1,credit_card,0.1028,103.68,11.22524,9.7,682,12780,2105,45.3,0,3,0,0
1,home_improvement,0.0964,154.08,11.0021,12.94,697,2969.042,2822,9.9,3,0,0,0
1,debt_consolidation,0.1059,650.9,11.58989,11.96,707,5070,21004,97.7,0,0,0,0
1,all_other,0.1375,81.74,10.7579,24.08,667,2820,11675,75.8,1,0,0,0
1,all_other,0.0901,238.54,9.875088,10.37,712,1230.042,3933,43.7,0,0,0,0
1,debt_consolidation,0.128,335.98,10.9819,7.51,662,4109.042,7251,80.6,3,0,2,0
1,all_other,0.1217,93.23,10.71442,19.19,692,4440.042,88,44,1,3,0,1
1,all_other,0.0933,95.87,10.5078,2.69,697,4680,1492,33.2,2,0,0,0
1,debt_consolidation,0.0996,95.94,10.12663,14.16,692,1918.042,7121,33.7,0,0,0,0
1,debt_consolidation,0.128,554.37,11.03489,19.22,677,3060.042,17641,69.5,2,0,0,0
1,small_business,0.1438,859.07,11.28978,20.79,682,3059.042,30946,61.5,3,0,0,1
1,major_purchase,0.0838,472.68,11.25156,7.96,772,5909.042,0,0,0,0,0,0
1,credit_card,0.1091,586.9,11.22524,10.34,697,2669.042,23391,90.7,1,0,0,0
1,major_purchase,0.0964,224.69,9.87817,21.23,772,5881,16324,48,0,0,0,0
1,debt_consolidation,0.128,483.81,10.4946,8.47,662,2670.042,7104,93.5,2,0,0,1
1,debt_consolidation,0.1217,399.55,10.08581,14.5,672,1950.042,9273,43.9,0,0,0,0
1,debt_consolidation,0.1186,232.04,10.82775,17.02,672,4380,6718,94.6,3,0,0,0
1,small_business,0.0964,802.47,11.22524,17.06,767,5691.042,12017,12.1,4,0,0,1
1,debt_consolidation,0.1091,304.9,11.16368,18.96,692,5430,5749,43.2,1,1,0,0
1,small_business,0.1249,836.23,11.27545,7.99,692,4739,6530,21.8,0,1,0,0
1,all_other,0.0775,124.89,10.08581,6,752,2729.042,2666,12.1,0,0,0,0
1,all_other,0.1028,113.4,10.77896,17.65,687,2070,3761,55.4,2,0,0,0
1,credit_card,0.1407,842.47,11.69525,12.81,677,5340.042,33698,91.3,0,0,0,0
1,debt_consolidation,0.1091,817.41,11.19821,22.13,737,9900,3472,4.5,1,0,0,1
1,debt_consolidation,0.1596,421.65,10.46287,20.82,667,6750.042,14534,48.9,3,1,0,0
1,educational,0.0933,575.17,11.0021,9.96,732,2732.042,6703,47.5,1,0,0,0
1,all_other,0.1312,405.03,11.56172,18.25,667,4358,5861,53.8,2,0,0,0
1,debt_consolidation,0.128,167.99,10.14565,18.65,662,1380,5061,72.3,0,1,0,0
1,debt_consolidation,0.0996,677.22,10.89857,3.77,722,6149,16888,39.5,0,0,0,0
1,all_other,0.1154,131.99,10.83864,9.14,667,3990,463,92.6,0,0,0,0
1,debt_consolidation,0.0933,281.2,10.12663,0,712,3360.042,0,0,0,1,0,0
1,debt_consolidation,0.0964,802.47,10.77896,9.78,742,2550,8283,12.7,4,0,0,0
1,credit_card,0.1091,505.16,11.61729,10.86,687,3420.042,46525,93.6,0,0,0,0
1,home_improvement,0.0743,180.23,10.62862,2.32,772,2610.042,2650,6.6,0,0,0,0
1,small_business,0.0933,798.84,11.51293,1.57,762,6359.042,17,0.1,5,0,0,1
1,all_other,0.0933,319.54,10.50507,19.46,727,4470.042,827,6.6,2,0,0,1
1,debt_consolidation,0.0964,32.1,8.517193,18,702,1200.042,961,26,2,0,0,0
1,debt_consolidation,0.0964,192.6,9.798127,2.87,697,1199.042,1554,29.3,1,0,0,0
1,home_improvement,0.1407,764.64,11.81303,3.66,672,5790,10753,52.3,2,3,0,1
1,all_other,0.0712,30.94,11.69525,0.65,792,3810.042,2227,3.8,1,0,0,0
1,credit_card,0.0901,381.66,11.51962,6.64,722,10290.04,7606,18.6,0,0,1,0
1,debt_consolidation,0.1249,301.04,11.0021,4.64,662,2222,8355,34.4,0,2,0,1
1,credit_card,0.1438,687.25,11.3266,16.05,667,2190,27293,86.6,0,0,0,0
1,debt_consolidation,0.0964,320.99,11.11245,3.6,712,2850,10157,26.2,0,1,0,0
1,small_business,0.147,862.97,11.37366,5.79,677,4739,4209,75.2,2,0,0,1
1,credit_card,0.0807,250.95,10.89674,10.44,767,3449.042,0,0,1,0,0,0
1,all_other,0.0743,87.01,10.28793,3.96,767,3930,1773,5,1,0,0,0
1,all_other,0.0775,62.45,10.08581,2.4,742,2290.042,949,55.8,1,0,0,1
1,home_improvement,0.1375,851.41,11.22524,19.78,687,2399.042,12308,43.6,2,0,0,1
1,credit_card,0.1059,244.09,10.59601,12.1,687,4019,7914,30.8,3,2,0,0
1,debt_consolidation,0.1438,687.25,10.65726,15.7,672,3690,9150,96.3,0,0,0,0
1,debt_consolidation,0.1122,656.86,10.55987,14.04,702,1800,21777,53.7,3,0,0,0
1,all_other,0.128,537.57,11.4844,12.43,667,2580,4281,63,3,0,0,0
1,debt_consolidation,0.0964,320.99,10.12503,8.17,712,3300,4475,63,0,0,0,0
1,debt_consolidation,0.0996,386.99,11.51293,8.17,707,3839.042,25413,45.2,2,0,0,0
1,small_business,0.0838,315.12,11.58058,2.28,742,4740,15043,65.2,2,0,0,0
1,major_purchase,0.1059,292.91,10.16277,5.56,682,1350.042,6353,39.5,2,0,0,0
1,debt_consolidation,0.0807,125.48,9.980449,10.33,742,1920.042,3737,55.8,1,0,0,0
1,debt_consolidation,0.0933,383.45,11.13663,7.47,717,5580.042,11370,41.6,0,2,0,0
1,debt_consolidation,0.1343,523.78,10.49127,17.4,667,10380.04,18403,73.3,0,1,0,0
1,all_other,0.1217,199.78,11.69525,6.81,662,2041.042,19504,77.3,0,0,0,0
1,debt_consolidation,0.0933,575.17,11.53273,16.95,747,3630,10463,8.2,2,0,0,0
1,debt_consolidation,0.0901,95.42,9.21034,6.72,707,3329,2808,51.1,3,1,0,0
1,debt_consolidation,0.0901,477.07,11.17044,6.88,742,4589.042,6297,14.5,0,0,0,0
1,all_other,0.0807,345.06,11.03489,14.07,792,7867.042,33060,21.7,0,0,0,0
1,all_other,0.1122,155.19,9.893437,23.03,717,2580,4500,13,0,0,0,1
1,home_improvement,0.0996,644.97,11.21171,13.28,732,1770,2344,9.8,1,0,0,0
1,all_other,0.0712,92.8,11.01205,1.19,797,6270.042,2907,4,0,0,0,0
1,debt_consolidation,0.0996,306.36,10.9682,21.93,727,4593.042,26218,28.7,2,0,0,0
1,debt_consolidation,0.1154,143.53,9.998798,24.71,707,1291.042,5967,25.5,0,0,0,0
1,credit_card,0.0964,288.89,11.62625,10.36,702,6119,27786,85.5,2,0,1,1
1,all_other,0.0933,87.88,11.62625,13.46,702,6120,27786,85.5,2,0,1,1
1,all_other,0.0901,381.66,11.69525,4.28,722,4080.042,7335,45.8,1,1,0,0
1,debt_consolidation,0.1122,197.06,10.80973,0,672,2519,0,0,1,1,0,0
